timestamp,name,phone
2026-09-14T09:26:10.599Z,"Sinov Ikkinchi","+998912223344"
2026-09-14T09:28:00.179Z,"ывлоатвло","743827583"
2026-09-14T09:28:29.072Z,"укеуце","5345232452"
2026-09-14T09:42:53.004Z,"Sinov Uchinchi","+998933334455"
2026-09-14T09:45:57.238Z,"Yakuniy Test","+998900000000"
2026-09-14T09:47:14.645Z,"панвапс","78965456789"
2026-09-14T10:07:10.933Z,"ваыаыа","234234234234"
2026-09-14T10:38:02.194Z,"орпапаг","7654234567890"
2026-09-14T10:38:48.654Z,"Sheets Final Test","+998900009999"
2026-09-14T10:41:07.888Z,"лопп","76546789"
2026-09-14T10:44:38.992Z,"Telegram Off Test","+998900011122"
2026-09-14T10:45:23.995Z,"ышощцыаымстм","43564758696754"
